timestamp,scenario,operating_state,equipment_type,rpm,vibration_x_mms,vibration_y_mms,vibration_z_mms,bearing_de_temp_c,bearing_nde_temp_c,stator_winding_temp_c,power_kw,fault_active
2026-01-01T00:00:00Z,rotor_imbalance,NORMAL,motor,2949.9,1.183,1.609,0.835,44.98,41.7,65.07,79.73,0
2026-01-01T00:00:00.100000Z,rotor_imbalance,NORMAL,motor,2949.9,1.172,1.651,0.858,45.14,42.03,64.85,78.99,0
2026-01-01T00:00:00.200000Z,rotor_imbalance,NORMAL,motor,2950.3,1.254,1.59,0.795,45.12,41.72,64.94,80.49,0
2026-01-01T00:00:00.300000Z,rotor_imbalance,NORMAL,motor,2950.7,1.08,1.555,0.812,45.17,41.79,65.11,78.49,0
2026-01-01T00:00:00.400000Z,rotor_imbalance,NORMAL,motor,2949.1,1.051,1.352,0.844,45.15,41.77,65.17,79.0,0
2026-01-01T00:00:00.500000Z,rotor_imbalance,NORMAL,motor,2950.5,1.113,1.396,0.841,45.15,42.09,65.13,80.48,0
2026-01-01T00:00:00.600000Z,rotor_imbalance,NORMAL,motor,2950.4,1.117,1.31,0.825,44.98,42.49,64.84,78.9,0
2026-01-01T00:00:00.700000Z,rotor_imbalance,NORMAL,motor,2951.3,1.38,1.418,0.842,45.32,42.01,64.72,79.47,0
2026-01-01T00:00:00.800000Z,rotor_imbalance,NORMAL,motor,2951.6,1.132,1.417,0.813,44.97,42.17,65.12,82.32,0
2026-01-01T00:00:00.900000Z,rotor_imbalance,NORMAL,motor,2951.7,1.234,1.427,0.758,45.23,41.92,64.99,80.75,0
2026-01-01T00:00:01Z,rotor_imbalance,NORMAL,motor,2951.2,1.259,1.372,0.746,44.93,42.12,65.24,79.98,0
2026-01-01T00:00:01.100000Z,rotor_imbalance,NORMAL,motor,2951.9,1.274,1.724,0.845,45.1,41.84,65.18,80.38,0
2026-01-01T00:00:01.200000Z,rotor_imbalance,NORMAL,motor,2952.6,1.209,1.838,0.782,45.37,42.06,64.9,78.87,0
2026-01-01T00:00:01.300000Z,rotor_imbalance,NORMAL,motor,2952.1,1.305,1.714,0.834,44.58,42.19,65.11,79.45,0
2026-01-01T00:00:01.400000Z,rotor_imbalance,NORMAL,motor,2952.1,1.123,1.759,0.747,44.97,42.32,64.91,79.64,0
2026-01-01T00:00:01.500000Z,rotor_imbalance,NORMAL,motor,2952.6,0.981,1.539,0.74,45.24,42.05,65.46,80.28,0
2026-01-01T00:00:01.600000Z,rotor_imbalance,NORMAL,motor,2953.5,0.981,1.431,0.816,45.42,41.72,65.2,80.59,0
2026-01-01T00:00:01.700000Z,rotor_imbalance,NORMAL,motor,2953.8,1.214,1.39,0.774,44.82,42.1,64.96,82.02,0
2026-01-01T00:00:01.800000Z,rotor_imbalance,NORMAL,motor,2952.9,1.221,1.2,0.78,45.13,42.23,65.29,79.96,0
2026-01-01T00:00:01.900000Z,rotor_imbalance,NORMAL,motor,2952.8,1.283,1.419,0.825,44.94,42.29,65.02,80.7,0
2026-01-01T00:00:02Z,rotor_imbalance,NORMAL,motor,2954.2,1.338,1.442,0.908,45.13,42.01,65.02,81.48,0
2026-01-01T00:00:02.100000Z,rotor_imbalance,NORMAL,motor,2953.7,1.347,1.602,0.774,44.74,42.13,65.05,79.39,0
2026-01-01T00:00:02.200000Z,rotor_imbalance,NORMAL,motor,2954.3,1.349,1.457,0.826,45.05,41.78,65.09,79.95,0
2026-01-01T00:00:02.300000Z,rotor_imbalance,NORMAL,motor,2953.6,1.31,1.664,0.771,45.17,42.28,64.86,80.38,0
2026-01-01T00:00:02.400000Z,rotor_imbalance,NORMAL,motor,2954.1,1.438,1.457,0.835,45.04,42.06,65.38,79.99,0
2026-01-01T00:00:02.500000Z,rotor_imbalance,NORMAL,motor,2955.4,1.118,1.668,0.775,44.96,42.09,64.94,80.2,0
2026-01-01T00:00:02.600000Z,rotor_imbalance,NORMAL,motor,2953.3,1.323,1.57,0.887,44.91,42.14,65.63,79.13,0
2026-01-01T00:00:02.700000Z,rotor_imbalance,NORMAL,motor,2953.7,1.05,1.565,0.835,45.37,42.04,64.68,79.56,0
2026-01-01T00:00:02.800000Z,rotor_imbalance,NORMAL,motor,2955.2,1.158,1.248,0.798,45.39,42.52,65.11,80.31,0
2026-01-01T00:00:02.900000Z,rotor_imbalance,NORMAL,motor,2954.0,1.058,1.389,0.825,45.23,42.0,64.77,79.22,0
2026-01-01T00:00:03Z,rotor_imbalance,NORMAL,motor,2954.1,1.253,1.126,0.783,45.21,42.4,65.01,81.0,0
2026-01-01T00:00:03.100000Z,rotor_imbalance,NORMAL,motor,2954.6,1.163,1.3,0.876,45.32,42.2,65.67,79.97,0
2026-01-01T00:00:03.200000Z,rotor_imbalance,NORMAL,motor,2955.1,1.308,1.391,0.916,45.43,41.82,64.92,80.43,0
2026-01-01T00:00:03.300000Z,rotor_imbalance,NORMAL,motor,2955.2,1.161,1.257,0.705,45.12,42.09,65.07,79.23,0
2026-01-01T00:00:03.400000Z,rotor_imbalance,NORMAL,motor,2954.3,1.086,1.589,0.819,45.34,42.27,64.96,81.35,0
2026-01-01T00:00:03.500000Z,rotor_imbalance,NORMAL,motor,2954.8,1.192,1.563,0.771,44.71,42.14,65.05,79.64,0
