timestamp,scenario,operating_state,active_power_mw,main_steam_flow_th,main_steam_pressure_bar,main_steam_temp_c,feedwater_flow_th,drum_level_mm,condenser_vacuum_bar,fuel_flow_th,boiler_tube_leak_alarm,condenser_fouling_alarm
2026-01-01T00:00:00Z,condenser_fouling,NORMAL,474.64,1595.7,159.94,540.7,1599.2,-7.5,-0.0897,174.47,0,0
2026-01-01T00:00:01Z,condenser_fouling,NORMAL,474.46,1592.4,160.12,541.2,1600.8,0.6,-0.0907,173.47,0,0
2026-01-01T00:00:02Z,condenser_fouling,NORMAL,475.62,1591.2,160.02,539.9,1599.4,-7.3,-0.0903,174.73,0,0
2026-01-01T00:00:03Z,condenser_fouling,NORMAL,477.18,1584.7,160.19,540.2,1598.9,-5.5,-0.0894,172.48,0,0
2026-01-01T00:00:04Z,condenser_fouling,NORMAL,468.45,1580.7,159.54,540.9,1597.1,-6.1,-0.0892,172.76,0,0
2026-01-01T00:00:05Z,condenser_fouling,NORMAL,474.78,1578.2,160.06,540.8,1595.4,1.8,-0.0894,174.02,0,0
2026-01-01T00:00:06Z,condenser_fouling,NORMAL,473.43,1574.4,159.77,540.5,1591.0,11.8,-0.0908,172.22,0,0
2026-01-01T00:00:07Z,condenser_fouling,NORMAL,476.92,1575.9,160.25,540.8,1594.1,-0.4,-0.0914,172.58,0,0
2026-01-01T00:00:08Z,condenser_fouling,NORMAL,477.38,1567.5,160.02,540.3,1587.0,3.8,-0.0894,175.22,0,0
2026-01-01T00:00:09Z,condenser_fouling,NORMAL,476.55,1566.7,159.72,539.2,1588.8,-2.7,-0.0901,173.45,0,0
2026-01-01T00:00:10Z,condenser_fouling,NORMAL,473.19,1564.9,159.08,538.9,1582.2,2.3,-0.0888,172.49,0,0
2026-01-01T00:00:11Z,condenser_fouling,NORMAL,475.65,1563.6,160.54,540.9,1582.6,-4.8,-0.0891,172.7,0,0
2026-01-01T00:00:12Z,condenser_fouling,NORMAL,478.07,1561.0,160.98,539.6,1584.5,0.8,-0.0905,171.01,0,0
2026-01-01T00:00:13Z,condenser_fouling,NORMAL,474.62,1561.9,160.41,540.7,1570.5,3.9,-0.0894,171.41,0,0
2026-01-01T00:00:14Z,condenser_fouling,NORMAL,473.43,1557.1,160.86,538.9,1574.3,7.2,-0.0904,171.43,0,0
2026-01-01T00:00:15Z,condenser_fouling,NORMAL,475.24,1552.7,160.11,538.8,1576.2,0.4,-0.0877,171.91,0,0
2026-01-01T00:00:16Z,condenser_fouling,NORMAL,478.41,1550.8,159.94,540.3,1576.8,-8.0,-0.089,172.05,0,0
2026-01-01T00:00:17Z,condenser_fouling,NORMAL,478.83,1553.2,160.03,539.5,1565.8,1.5,-0.0902,173.33,0,0
2026-01-01T00:00:18Z,condenser_fouling,NORMAL,473.47,1550.8,159.22,539.6,1568.4,4.7,-0.0886,171.11,0,0
2026-01-01T00:00:19Z,condenser_fouling,NORMAL,472.21,1549.6,160.26,540.5,1563.6,6.3,-0.0899,171.71,0,0
