timestamp,scenario,operating_state,compressor_rpm,suction_pressure_bar,discharge_pressure_bar,delivery_pressure_bar,flow_in_mmscmd,flow_out_mmscmd,gas_temperature_c,wobbe_index,hydrate_risk_pct,compressor_trip_alarm,leak_alarm,hydrate_alarm,choke_alarm
2026-01-01T00:00:00Z,compressor_trip,NORMAL,8498.6,39.97,89.94,80.35,14.99,14.85,25.03,49.99,0,0,0,0,0
2026-01-01T00:00:01Z,compressor_trip,NORMAL,8497.9,40.02,90.12,80.58,15.07,15.01,24.93,49.95,0,0,0,0,0
2026-01-01T00:00:02Z,compressor_trip,NORMAL,8502.8,40.26,90.02,79.95,15.05,14.85,24.97,50.02,0,0,0,0,0
2026-01-01T00:00:03Z,compressor_trip,NORMAL,8509.3,39.95,90.19,80.12,15.08,14.89,25.06,49.92,0,0,0,0,0
2026-01-01T00:00:04Z,compressor_trip,NORMAL,8474.7,39.88,89.54,80.44,15.07,14.88,25.09,49.95,0,0,0,0,0
2026-01-01T00:00:05Z,compressor_trip,NORMAL,8500.5,39.94,90.06,80.41,15.06,15.03,25.07,50.02,0,0,0,0,0
2026-01-01T00:00:06Z,compressor_trip,NORMAL,8495.5,39.86,89.77,80.25,14.97,15.23,24.92,49.95,0,0,0,0,0
2026-01-01T00:00:07Z,compressor_trip,NORMAL,8510.0,40.28,90.26,80.42,15.14,14.99,24.86,49.97,0,0,0,0,0
2026-01-01T00:00:08Z,compressor_trip,NORMAL,8512.4,39.71,90.03,80.13,14.97,15.07,25.06,50.12,0,0,0,0,0
2026-01-01T00:00:09Z,compressor_trip,NORMAL,8509.7,39.88,89.73,79.59,15.1,14.94,25.0,50.04,0,0,0,0,0
2026-01-01T00:00:10Z,compressor_trip,NORMAL,8496.9,39.94,89.09,79.46,14.94,15.04,25.13,50.0,0,0,0,0,0
2026-01-01T00:00:11Z,compressor_trip,NORMAL,8507.4,40.03,90.56,80.45,15.03,14.9,25.1,50.02,0,0,0,0,0
2026-01-01T00:00:12Z,compressor_trip,NORMAL,8517.8,39.99,91.0,79.82,15.16,15.01,24.96,49.94,0,0,0,0,0
2026-01-01T00:00:13Z,compressor_trip,NORMAL,8504.8,40.28,90.44,80.35,14.76,15.07,25.07,49.97,0,0,0,0,0
2026-01-01T00:00:14Z,compressor_trip,NORMAL,8500.8,40.0,90.89,79.48,14.96,15.14,24.97,49.98,0,0,0,0,0
2026-01-01T00:00:15Z,compressor_trip,NORMAL,8508.8,39.75,90.15,79.4,15.09,15.0,25.24,50.01,0,0,0,0,0
2026-01-01T00:00:16Z,compressor_trip,NORMAL,8522.3,39.74,89.98,80.17,15.17,14.83,25.12,50.03,0,0,0,0,0
2026-01-01T00:00:17Z,compressor_trip,NORMAL,8524.8,40.14,90.07,79.75,14.88,15.02,25.0,50.1,0,0,0,0,0
2026-01-01T00:00:18Z,compressor_trip,NORMAL,8504.2,40.06,89.27,79.81,15.03,15.08,25.17,50.0,0,0,0,0,0
2026-01-01T00:00:19Z,compressor_trip,NORMAL,8500.0,40.09,90.32,80.26,14.93,15.11,25.03,50.03,0,0,0,0,0
2026-01-01T00:00:20Z,compressor_trip,NORMAL,8524.8,40.12,90.21,81.09,15.02,14.97,25.04,50.07,0,0,0,0,0
2026-01-01T00:00:21Z,compressor_trip,NORMAL,8514.1,40.1,90.67,79.76,14.83,15.03,25.05,49.97,0,0,0,0,0
2026-01-01T00:00:22Z,compressor_trip,NORMAL,8522.5,40.12,89.58,80.28,14.98,14.85,25.07,50.0,0,0,0,0,0
2026-01-01T00:00:23Z,compressor_trip,NORMAL,8507.3,40.1,90.33,79.73,15.04,15.1,24.96,50.02,0,0,0,0,0
